cwvScore,loadState,invoker,invokeCategory
504,complete,#document.onclick,domcument-body-DOMWindow
504,complete,#document.onclick,domcument-body-DOMWindow
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,complete,DIV.onclick,other
504,complete,IntersectionObserverCallback,other
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
504,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,complete,DIV.onclick,other
504,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
504,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
504,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
504,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
504,dom-interactive,,
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,complete,#document.onclick,domcument-body-DOMWindow
504,complete,#document.onclick,domcument-body-DOMWindow
504,complete,BODY.onclick,domcument-body-DOMWindow
504,complete,BODY.onclick,domcument-body-DOMWindow
504,complete,DOMWindow.onblur,domcument-body-DOMWindow
504,complete,DIV.onclick,other
504,complete,FrameRequestCallback,other
504,dom-interactive,https://cdn.cookielaw.org/scripttemplates/otSDKStub.js,other
504,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
504,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,complete,DIV.onclick,other
504,dom-content-loaded,TimerHandler:setTimeout,other
504,dom-content-loaded,TimerHandler:setTimeout,other
504,dom-content-loaded,FrameRequestCallback,other
504,complete,#document.onclick,domcument-body-DOMWindow
504,complete,BODY.onclick,domcument-body-DOMWindow
504,dom-content-loaded,TimerHandler:setTimeout,other
504,dom-content-loaded,https://www.popularmechanics.com/_assets/moapt/2.210.0/moapt-bidder-pb-hdm.8.51.0.js,other
504,dom-content-loaded,SCRIPT[src=/_assets/moapt/2.210.0/moapt-bidder-pb-hdm.8.51.0.js].onload,script
504,dom-content-loaded,FrameRequestCallback,other
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
504,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
504,loading,https://www.popularmechanics.com/science/environment/a61585473/single-ancestor-life-earth-luca-discovery/,other
504,loading,https://www.popularmechanics.com/science/environment/a61585473/single-ancestor-life-earth-luca-discovery/,other
504,loading,https://www.popularmechanics.com/science/environment/a61585473/single-ancestor-life-earth-luca-discovery/,other
504,loading,,
504,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
504,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
504,dom-content-loaded,https://www.googletagmanager.com/gtag/js?id=G-FB55WFVWBS,other
504,dom-content-loaded,TimerHandler:setTimeout,other
504,dom-content-loaded,TimerHandler:setTimeout,other
504,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/4028.d516d8e5bdc82258.js,hdm miscellaneous
504,dom-content-loaded,https://ww,other
504,dom-content-loaded,https://cdn.cookielaw.org/scripttemplates/202402.1.0/otGPP.js,other
504,dom-content-loaded,SCRIPT[src=https://cdn.cookielaw.org/scripttemplates/202402.1.0/otGPP.js].onload,script
504,dom-content-loaded,TimerHandler:setTimeout,other
504,dom-content-loaded,TimerHandler:setTimeout,other
504,dom-content-loaded,TimerHandler:setTimeout,other
504,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
512,dom-content-loaded,SCRIPT[src=//hearst.gscontxt.net/channels.cgi?url=https%3A%2F%2Fwww.popularmechanics.com%2Fscience%2Fenvironment%2Fa61585473%2Fsingle-ancestor-life-earth-luca-discovery%2F].onload,script
512,dom-content-loaded,https://z.moatads.com/hearstmagazinesheader852699793088/moatheader.js,other
512,dom-content-loaded,TimerHandler:setTimeout,other
512,dom-content-loaded,T,other
512,dom-content-loaded,IFRAME#google_ads_iframe_/36117602/hdm-popularmechanics/science/atf_0.onload,other
512,dom-content-loaded,DOMWindow.onload,domcument-body-DOMWindow
512,dom-content-loaded,DOMWindow.onload,domcument-body-DOMWindow
512,dom-content-loaded,BUTTON.onclick,other
512,dom-interactive,TimerHandler:setTimeout,other
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
512,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
512,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
512,dom-content-loaded,TimerHandler:setTimeout,other
512,dom-content-loaded,FrameRequestCallback,other
512,dom-content-loaded,TimerHandler:setTimeout,other
512,dom-content-loaded,FrameRequestCallback,other
512,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
512,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
512,complete,,
512,dom-content-loaded,TimerHandler:setTimeout,other
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
512,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
512,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
512,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
